"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Guamá - Belém (PA)";"35 a 39 anos";"5617";"3057";"2560"
"Guamá - Belém (PA)";"40 a 44 anos";"4836";"2600";"2236"
"Guamá - Belém (PA)";"45 a 49 anos";"4025";"2175";"1850"
"Guamá - Belém (PA)";"50 a 54 anos";"3319";"1752";"1567"
"Guamá - Belém (PA)";"55 a 59 anos";"2489";"1291";"1198"
"Guamá - Belém (PA)";"60 a 69 anos";"3587";"1711";"1876"
"Guamá - Belém (PA)";"70 anos ou mais";"3099";"1173";"1926"
"Jurunas - Belém (PA)";"Total";"32828";"16973";"15855"
"Jurunas - Belém (PA)";"10 a 14 anos";"348";"180";"168"
"Jurunas - Belém (PA)";"15 a 19 anos";"1000";"556";"444"
"Jurunas - Belém (PA)";"15 a 17 anos";"421";"233";"188"
"Jurunas - Belém (PA)";"18 ou 19 anos";"579";"323";"256"
"Jurunas - Belém (PA)";"20 a 24 anos";"3123";"1768";"1355"
"Jurunas - Belém (PA)";"25 a 29 anos";"4313";"2314";"1999"
"Jurunas - Belém (PA)";"30 a 34 anos";"4330";"2326";"2004"
"Jurunas - Belém (PA)";"35 a 39 anos";"3915";"2103";"1812"
"Jurunas - Belém (PA)";"40 a 44 anos";"3488";"1822";"1666"
"Jurunas - Belém (PA)";"45 a 49 anos";"2825";"1467";"1358"
"Jurunas - Belém (PA)";"50 a 54 anos";"2453";"1272";"1181"
"Jurunas - Belém (PA)";"55 a 59 anos";"1862";"957";"905"
"Jurunas - Belém (PA)";"60 a 69 anos";"2693";"1283";"1410"
