"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Cremação - Belém (PA)";"45 a 49 anos";"1000,00";"1021,00";"805,00"
"Cremação - Belém (PA)";"50 a 54 anos";"1053,00";"1300,00";"1000,00"
"Cremação - Belém (PA)";"55 a 59 anos";"1200,00";"1500,00";"1020,00"
"Cremação - Belém (PA)";"60 a 69 anos";"1020,00";"1200,00";"900,00"
"Cremação - Belém (PA)";"70 anos ou mais";"510,00";"800,00";"510,00"
"Guamá - Belém (PA)";"Total";"510,00";"600,00";"510,00"
"Guamá - Belém (PA)";"10 a 14 anos";"95,00";"100,00";"90,00"
"Guamá - Belém (PA)";"15 a 19 anos";"400,00";"400,00";"300,00"
"Guamá - Belém (PA)";"15 a 17 anos";"255,00";"280,00";"230,00"
"Guamá - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"467,50"
"Guamá - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Guamá - Belém (PA)";"25 a 29 anos";"510,00";"510,00";"510,00"
"Guamá - Belém (PA)";"30 a 34 anos";"510,00";"600,00";"510,00"
"Guamá - Belém (PA)";"35 a 39 anos";"560,00";"678,00";"510,00"
"Guamá - Belém (PA)";"40 a 44 anos";"600,00";"700,00";"510,00"
"Guamá - Belém (PA)";"45 a 49 anos";"600,00";"750,00";"510,00"
"Guamá - Belém (PA)";"50 a 54 anos";"600,00";"735,00";"510,00"
"Guamá - Belém (PA)";"55 a 59 anos";"600,00";"750,00";"510,00"
"Guamá - Belém (PA)";"60 a 69 anos";"510,00";"600,00";"510,00"
"Guamá - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"Jurunas - Belém (PA)";"Total";"510,00";"600,00";"510,00"
"Jurunas - Belém (PA)";"10 a 14 anos";"100,00";"110,00";"90,00"
"Jurunas - Belém (PA)";"15 a 19 anos";"400,00";"500,00";"382,00"
"Jurunas - Belém (PA)";"15 a 17 anos";"260,00";"300,00";"255,00"
"Jurunas - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Jurunas - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Jurunas - Belém (PA)";"25 a 29 anos";"510,00";"510,00";"510,00"
"Jurunas - Belém (PA)";"30 a 34 anos";"510,00";"600,00";"510,00"
"Jurunas - Belém (PA)";"35 a 39 anos";"510,00";"620,00";"510,00"
"Jurunas - Belém (PA)";"40 a 44 anos";"600,00";"700,00";"510,00"
"Jurunas - Belém (PA)";"45 a 49 anos";"665,00";"800,00";"510,00"
"Jurunas - Belém (PA)";"50 a 54 anos";"600,00";"800,00";"510,00"
"Jurunas - Belém (PA)";"55 a 59 anos";"700,00";"800,00";"510,00"
"Jurunas - Belém (PA)";"60 a 69 anos";"510,00";"600,00";"510,00"
"Jurunas - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"Marambaia - Belém (PA)";"Total";"710,00";"810,00";"600,00"
"Marambaia - Belém (PA)";"10 a 14 anos";"100,00";"112,00";"90,00"
"Marambaia - Belém (PA)";"15 a 19 anos";"400,00";"500,00";"350,00"
"Marambaia - Belém (PA)";"15 a 17 anos";"250,00";"300,00";"200,00"
"Marambaia - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"500,00"
"Marambaia - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Marambaia - Belém (PA)";"25 a 29 anos";"650,00";"700,00";"600,00"
"Marambaia - Belém (PA)";"30 a 34 anos";"750,00";"800,00";"600,00"
