"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Cremação - Belém (PA)";"40 a 44 anos";"1774,57";"2024,19";"1539,90"
"Cremação - Belém (PA)";"45 a 49 anos";"2278,64";"2736,52";"1822,39"
"Cremação - Belém (PA)";"50 a 54 anos";"2487,27";"2818,41";"2148,61"
"Cremação - Belém (PA)";"55 a 59 anos";"2784,41";"3144,12";"2438,08"
"Cremação - Belém (PA)";"60 a 69 anos";"2545,41";"3230,14";"2017,89"
"Cremação - Belém (PA)";"70 anos ou mais";"1628,26";"2155,66";"1346,28"
"Guamá - Belém (PA)";"Total";"940,73";"1022,52";"848,20"
"Guamá - Belém (PA)";"10 a 14 anos";"217,35";"237,54";"197,08"
"Guamá - Belém (PA)";"15 a 19 anos";"400,47";"425,60";"365,45"
"Guamá - Belém (PA)";"15 a 17 anos";"326,68";"346,13";"299,99"
"Guamá - Belém (PA)";"18 ou 19 anos";"448,41";"476,68";"408,61"
"Guamá - Belém (PA)";"20 a 24 anos";"595,45";"636,80";"540,34"
"Guamá - Belém (PA)";"25 a 29 anos";"766,10";"820,95";"692,57"
"Guamá - Belém (PA)";"30 a 34 anos";"858,80";"917,50";"788,70"
"Guamá - Belém (PA)";"35 a 39 anos";"945,60";"1050,58";"820,25"
"Guamá - Belém (PA)";"40 a 44 anos";"1029,69";"1144,09";"896,65"
"Guamá - Belém (PA)";"45 a 49 anos";"1116,97";"1203,42";"1015,34"
"Guamá - Belém (PA)";"50 a 54 anos";"1218,74";"1363,66";"1056,70"
"Guamá - Belém (PA)";"55 a 59 anos";"1231,95";"1341,04";"1114,40"
"Guamá - Belém (PA)";"60 a 69 anos";"1188,50";"1345,77";"1045,07"
"Guamá - Belém (PA)";"70 anos ou mais";"1048,43";"1231,10";"937,18"
"Jurunas - Belém (PA)";"Total";"1065,28";"1164,85";"958,69"
"Jurunas - Belém (PA)";"10 a 14 anos";"262,76";"314,33";"207,50"
"Jurunas - Belém (PA)";"15 a 19 anos";"414,52";"440,87";"381,52"
"Jurunas - Belém (PA)";"15 a 17 anos";"320,99";"347,25";"288,45"
"Jurunas - Belém (PA)";"18 ou 19 anos";"482,52";"508,41";"449,87"
"Jurunas - Belém (PA)";"20 a 24 anos";"641,68";"688,17";"581,03"
"Jurunas - Belém (PA)";"25 a 29 anos";"827,55";"873,19";"774,73"
"Jurunas - Belém (PA)";"30 a 34 anos";"960,70";"1053,07";"853,48"
"Jurunas - Belém (PA)";"35 a 39 anos";"1043,76";"1114,68";"961,44"
"Jurunas - Belém (PA)";"40 a 44 anos";"1205,05";"1343,72";"1053,40"
"Jurunas - Belém (PA)";"45 a 49 anos";"1327,24";"1451,87";"1192,61"
"Jurunas - Belém (PA)";"50 a 54 anos";"1381,08";"1544,96";"1204,57"
"Jurunas - Belém (PA)";"55 a 59 anos";"1475,31";"1667,91";"1271,65"
"Jurunas - Belém (PA)";"60 a 69 anos";"1282,97";"1534,21";"1054,36"
"Jurunas - Belém (PA)";"70 anos ou mais";"1252,29";"1438,34";"1141,47"
"Marambaia - Belém (PA)";"Total";"1357,51";"1553,63";"1153,28"
