"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento - percentual do total geral"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Cremação - Belém (PA)";"55 a 59 anos";"6,79";"3,33";"3,46"
"Cremação - Belém (PA)";"60 a 69 anos";"10,15";"4,42";"5,73"
"Cremação - Belém (PA)";"70 anos ou mais";"9,45";"3,29";"6,16"
"Guamá - Belém (PA)";"Total";"100,00";"53,08";"46,92"
"Guamá - Belém (PA)";"10 a 14 anos";"1,00";"0,50";"0,50"
"Guamá - Belém (PA)";"15 a 19 anos";"2,88";"1,68";"1,20"
"Guamá - Belém (PA)";"15 a 17 anos";"1,14";"0,66";"0,48"
"Guamá - Belém (PA)";"18 ou 19 anos";"1,75";"1,02";"0,73"
"Guamá - Belém (PA)";"20 a 24 anos";"9,57";"5,47";"4,10"
"Guamá - Belém (PA)";"25 a 29 anos";"13,26";"7,59";"5,66"
"Guamá - Belém (PA)";"30 a 34 anos";"13,24";"7,20";"6,03"
"Guamá - Belém (PA)";"35 a 39 anos";"12,51";"6,81";"5,70"
"Guamá - Belém (PA)";"40 a 44 anos";"10,77";"5,79";"4,98"
"Guamá - Belém (PA)";"45 a 49 anos";"8,96";"4,84";"4,12"
"Guamá - Belém (PA)";"50 a 54 anos";"7,39";"3,90";"3,49"
"Guamá - Belém (PA)";"55 a 59 anos";"5,54";"2,87";"2,67"
"Guamá - Belém (PA)";"60 a 69 anos";"7,99";"3,81";"4,18"
"Guamá - Belém (PA)";"70 anos ou mais";"6,90";"2,61";"4,29"
"Jurunas - Belém (PA)";"Total";"100,00";"51,70";"48,30"
"Jurunas - Belém (PA)";"10 a 14 anos";"1,06";"0,55";"0,51"
"Jurunas - Belém (PA)";"15 a 19 anos";"3,05";"1,69";"1,35"
"Jurunas - Belém (PA)";"15 a 17 anos";"1,28";"0,71";"0,57"
"Jurunas - Belém (PA)";"18 ou 19 anos";"1,76";"0,98";"0,78"
"Jurunas - Belém (PA)";"20 a 24 anos";"9,51";"5,39";"4,13"
