Bairro,area_km2,Hab,Mor,Mor/Hab,N_ren,ren_avg,ren_mdn,T.A.,IDH-R,IDH-L,IDH-E,IDH,Quantidade de Depósitos Irregulares,CRA,Depósitos Irregulares est.
Batista Campos,1.4253874521297123,5795,19062,3.29,11763.0,3742.05,2000.0,99.2,0.869,0.901,0.829,0.866,,8637.191580159673,2
Canudos,0.7984289804067427,3619,13789,3.81,7863.0,1275.72,700.0,98.07,0.751,0.873,0.752,0.79,,6087.571116874947,3
Cidade Velha,1.4744432611539195,3086,12119,3.93,6976.0,1931.71,1000.0,98.64,0.828,0.891,0.802,0.84,3.0,5148.804636984602,3
Condor,1.8228024167004355,10414,42699,4.1,20917.0,845.55,510.0,96.38,0.616,0.769,0.549,0.644,,1901.8819419141334,5
Cremação,1.47400030980489,8324,31257,3.76,17096.0,1769.97,800.0,98.18,0.69,0.825,0.668,0.724,,4514.983582928092,4
Guamá,4.310685220930785,23402,94432,4.04,44917.0,940.73,510.0,95.91,0.709,0.83,0.699,0.746,4.0,881.6577887771091,4
Jurunas,2.5576406647636336,15886,64478,4.06,32828.0,1065.28,510.0,95.99,0.778,0.872,0.762,0.802,9.0,1691.0259754568383,9
Marambaia,5.052313942811706,17563,66697,3.8,35312.0,1357.51,710.0,97.43,0.792,0.805,0.772,0.813,5.0,1021.0248330548474,5
Marco,4.903819105341858,18162,65819,3.62,36975.0,2096.32,1000.0,98.38,0.833,0.888,0.803,0.841,3.0,1547.5037388172527,3
Fátima,0.6194984549544649,3008,12385,4.12,6379.0,1124.57,600.0,98.19,0.72,0.856,0.721,0.763,,7478.99912089459,4
Nazaré,1.5154274072944556,6404,20449,3.19,13138.0,4356.62,2800.0,99.61,0.961,0.932,0.888,0.927,,9170.757855575474,2
Pedreira,3.710434483353597,19016,69544,3.66,38128.0,1603.0,750.0,98.03,0.746,0.866,0.742,0.784,4.0,1581.211048550103,4
Reduto,0.8758376993616717,1945,6358,3.27,4054.0,4334.58,2300.0,99.39,0.961,0.932,0.888,0.927,,16183.451123798799,2
Sacramenta,2.372145802920333,11515,44413,3.86,22709.0,906.75,510.0,97.02,0.7,0.84,0.734,0.758,2.0,1475.4805525407019,2
São Brás,1.617785220410128,5848,19865,3.4,12321.0,2918.1,1500.0,99.12,0.92,0.925,0.877,0.907,1.0,6132.79184086301,1
Souza,4.045667641146619,3842,13137,3.42,7385.0,2043.96,1200.0,98.76,0.825,0.903,0.839,0.855,1.0,1727.8589889353352,1
Telégrafo,2.3564335803896976,10587,42953,4.06,21475.0,1009.73,510.0,97.06,0.723,0.84,0.699,0.754,3.0,1739.7069173161417,3
Montese (Terra Firme),2.4124966424120795,15478,61438,3.97,29712.0,714.43,510.0,95.17,0.798,0.801,0.621,0.687,,1175.664682859083,5
Campina,1.0616906031590008,2081,6108,2.94,3927.0,2951.02,1530.0,99.19,0.944,0.929,0.882,0.918,2.0,8171.871140410448,2
Umarizal,2.678142200689915,8577,30025,3.5,18063.0,3011.72,1500.0,98.98,0.883,0.917,0.857,0.885,2.0,3935.944849113886,2
Barreiro,1.0301698406073814,6303,26003,4.13,11743.0,614.42,510.0,94.17,0.668,0.806,0.594,0.684,,2463.2390698837335,5
