Bairro,Habitações,Moradores,Média,N,avg,mdn,T.A.,IDH-R,IDH-L,IDH-E,IDH
Batista Campos,5795,19062,3.29,11763.0,3742.05,2000.0,99.2,0.869,0.901,0.829,0.866
Canudos,3619,13789,3.81,7863.0,1275.72,700.0,98.07,0.751,0.873,0.752,0.79
Cidade Velha,3086,12119,3.93,6976.0,1931.71,1000.0,98.64,0.828,0.891,0.802,0.84
Condor,10414,42699,4.1,20917.0,845.55,510.0,96.38,0.616,0.769,0.549,0.644
Cremação,8324,31257,3.76,17096.0,1769.97,800.0,98.18,0.69,0.825,0.668,0.724
Guamá,23402,94432,4.04,44917.0,940.73,510.0,95.91,0.709,0.83,0.699,0.746
Jurunas,15886,64478,4.06,32828.0,1065.28,510.0,95.99,0.778,0.872,0.762,0.802
Marambaia,17563,66697,3.8,35312.0,1357.51,710.0,97.43,0.792,0.805,0.772,0.813
Marco,18162,65819,3.62,36975.0,2096.32,1000.0,98.38,0.833,0.888,0.803,0.841
Fátima,3008,12385,4.12,6379.0,1124.57,600.0,98.19,0.72,0.856,0.721,0.763
Nazaré,6404,20449,3.19,13138.0,4356.62,2800.0,99.61,0.961,0.932,0.888,0.927
Pedreira,19016,69544,3.66,38128.0,1603.0,750.0,98.03,0.746,0.866,0.742,0.784
Reduto,1945,6358,3.27,4054.0,4334.58,2300.0,99.39,0.961,0.932,0.888,0.927
Sacramenta,11515,44413,3.86,22709.0,906.75,510.0,97.02,0.7,0.84,0.734,0.758
São Brás,5848,19865,3.4,12321.0,2918.1,1500.0,99.12,0.92,0.925,0.877,0.907
Souza,3842,13137,3.42,7385.0,2043.96,1200.0,98.76,0.825,0.903,0.839,0.855
Telégrafo,10587,42953,4.06,21475.0,1009.73,510.0,97.06,0.723,0.84,0.699,0.754
Montese (Terra Firme),15478,61438,3.97,29712.0,714.43,510.0,95.17,0.798,0.801,0.621,0.687
Campina,2081,6108,2.94,3927.0,2951.02,1530.0,99.19,0.944,0.929,0.882,0.918
Umarizal,8577,30025,3.5,18063.0,3011.72,1500.0,98.98,0.883,0.917,0.857,0.885
