Bairro,Grupo de idade,Total,Total.1,Total.2
Marambaia,Total,"1357,51","1553,63","1153,28"
Marambaia,10 a 14 anos,"227,73","258,55","193,24"
Marambaia,15 a 19 anos,"430,93","470,77","382,89"
Marambaia,15 a 17 anos,"342,68","370,13","309,33"
Marambaia,18 ou 19 anos,"491,84","540,65","433,30"
Marambaia,20 a 24 anos,"750,84","818,31","672,51"
Marambaia,25 a 29 anos,"1033,71","1089,70","968,27"
Marambaia,30 a 34 anos,"1215,47","1320,26","1098,56"
Marambaia,35 a 39 anos,"1362,38","1548,49","1156,02"
Marambaia,40 a 44 anos,"1439,87","1664,27","1198,92"
Marambaia,45 a 49 anos,"1645,21","1907,11","1366,95"
Marambaia,50 a 54 anos,"1729,97","2049,44","1402,26"
Marambaia,55 a 59 anos,"2065,90","2423,51","1680,24"
Marambaia,60 a 69 anos,"1824,85","2232,98","1457,78"
Marambaia,70 anos ou mais,"1298,29","1684,91","1048,58"
Marco,Total,"2096,32","2433,23","1776,69"
Marco,10 a 14 anos,"352,26","362,36","339,79"
Marco,15 a 19 anos,"561,91","590,09","534,85"
Marco,15 a 17 anos,"543,55","584,97","508,05"
Marco,18 ou 19 anos,"572,97","592,90","552,47"
Marco,20 a 24 anos,"878,65","993,15","755,54"
Marco,25 a 29 anos,"1428,31","1504,56","1352,06"
Marco,30 a 34 anos,"1913,29","2193,51","1618,69"
Marco,35 a 39 anos,"2180,26","2433,27","1923,32"
Marco,40 a 44 anos,"2462,68","2809,13","2106,07"
Marco,45 a 49 anos,"2552,22","2956,31","2144,76"
Marco,50 a 54 anos,"2714,36","3157,37","2281,11"
Marco,55 a 59 anos,"2958,09","3537,49","2429,62"
Marco,60 a 69 anos,"2608,47","3304,87","2038,98"
Marco,70 anos ou mais,"1910,36","2488,68","1548,07"
Fátima,Total,"1124,57","1224,34","1025,95"
Fátima,10 a 14 anos,"256,07","307,91","206,48"
Fátima,15 a 19 anos,"501,61","524,24","477,24"
Fátima,15 a 17 anos,"426,77","406,27","446,61"
Fátima,18 ou 19 anos,"546,81","589,78","497,45"
Fátima,20 a 24 anos,"705,45","709,51","701,35"
Fátima,25 a 29 anos,"878,22","912,90","838,39"
Fátima,30 a 34 anos,"1123,29","1204,00","1021,18"
Fátima,35 a 39 anos,"1015,65","1100,87","918,37"
Fátima,40 a 44 anos,"1210,00","1308,76","1116,30"
Fátima,45 a 49 anos,"1224,46","1358,02","1070,36"
Fátima,50 a 54 anos,"1442,11","1484,16","1396,11"
Fátima,55 a 59 anos,"1520,60","1660,63","1404,42"
Fátima,60 a 69 anos,"1458,92","1668,71","1295,81"
Fátima,70 anos ou mais,"1040,84","1401,61","828,56"
Nazaré,Total,"4356,62","5488,04","3472,78"
