Bairro,Grupo de idade,Total,Total.1,Total.2
Marambaia,18 ou 19 anos,"510,00","510,00","500,00"
Marambaia,20 a 24 anos,"510,00","510,00","510,00"
Marambaia,25 a 29 anos,"650,00","700,00","600,00"
Marambaia,30 a 34 anos,"750,00","800,00","600,00"
Marambaia,35 a 39 anos,"800,00","950,00","620,00"
Marambaia,40 a 44 anos,"800,00","1000,00","700,00"
Marambaia,45 a 49 anos,"1000,00","1020,00","750,00"
Marambaia,50 a 54 anos,"1000,00","1132,50","800,00"
Marambaia,55 a 59 anos,"1060,00","1400,00","1000,00"
Marambaia,60 a 69 anos,"1000,00","1200,00","600,00"
Marambaia,70 anos ou mais,"510,00","800,00","510,00"
Marco,Total,"1000,00","1200,00","900,00"
Marco,10 a 14 anos,"125,00","122,50","125,00"
Marco,15 a 19 anos,"510,00","510,00","510,00"
Marco,15 a 17 anos,"355,00","300,00","400,00"
Marco,18 ou 19 anos,"510,00","510,00","510,00"
Marco,20 a 24 anos,"510,00","598,50","510,00"
Marco,25 a 29 anos,"800,00","900,00","800,00"
Marco,30 a 34 anos,"1000,00","1020,00","890,00"
Marco,35 a 39 anos,"1020,00","1200,00","1000,00"
Marco,40 a 44 anos,"1200,00","1500,00","1000,00"
Marco,45 a 49 anos,"1500,00","1500,00","1200,00"
Marco,50 a 54 anos,"1500,00","2000,00","1200,00"
Marco,55 a 59 anos,"1790,00","2000,00","1500,00"
Marco,60 a 69 anos,"1450,00","1900,00","1020,00"
Marco,70 anos ou mais,"1000,00","1487,50","600,00"
Fátima,Total,"600,00","700,00","510,00"
Fátima,10 a 14 anos,"100,00","175,00","100,00"
Fátima,15 a 19 anos,"510,00","510,00","510,00"
Fátima,15 a 17 anos,"510,00","510,00","510,00"
Fátima,18 ou 19 anos,"510,00","510,00","510,00"
Fátima,20 a 24 anos,"510,00","510,00","510,00"
Fátima,25 a 29 anos,"600,00","650,00","510,00"
Fátima,30 a 34 anos,"600,00","700,00","550,00"
Fátima,35 a 39 anos,"600,00","700,00","510,00"
Fátima,40 a 44 anos,"740,00","800,00","600,00"
Fátima,45 a 49 anos,"700,00","800,00","600,00"
Fátima,50 a 54 anos,"800,00","800,00","650,00"
Fátima,55 a 59 anos,"750,00","900,00","600,00"
Fátima,60 a 69 anos,"650,00","800,00","510,00"
Fátima,70 anos ou mais,"510,00","510,00","510,00"
Nazaré,Total,"2800,00","3800,00","2000,00"
Nazaré,10 a 14 anos,"555,00","870,00","510,00"
Nazaré,15 a 19 anos,"510,00","510,00","510,00"
Nazaré,15 a 17 anos,"700,00","650,00","750,00"
Nazaré,18 ou 19 anos,"510,00","510,00","510,00"
Nazaré,20 a 24 anos,"1000,00","1000,00","900,00"
Nazaré,25 a 29 anos,"2000,00","2000,00","1560,00"
Nazaré,30 a 34 anos,"2300,00","3000,00","2000,00"
Nazaré,35 a 39 anos,"3000,00","4000,00","2200,00"
Nazaré,40 a 44 anos,"3000,00","4000,00","2500,00"
Nazaré,45 a 49 anos,"4000,00","5000,00","3000,00"
Nazaré,50 a 54 anos,"4000,00","5000,00","3000,00"
Nazaré,55 a 59 anos,"4000,00","5000,00","3000,00"
Nazaré,60 a 69 anos,"4000,00","5000,00","3000,00"
Nazaré,70 anos ou mais,"3000,00","4900,00","2381,00"
Pedreira,Total,"750,00","900,00","600,00"
Pedreira,10 a 14 anos,"200,00","300,00","134,00"
Pedreira,15 a 19 anos,"510,00","510,00","500,00"
Pedreira,15 a 17 anos,"300,00","307,50","300,00"
Pedreira,18 ou 19 anos,"510,00","510,00","510,00"
Pedreira,20 a 24 anos,"510,00","510,00","510,00"
Pedreira,25 a 29 anos,"700,00","737,50","600,00"
Pedreira,30 a 34 anos,"800,00","900,00","700,00"
Pedreira,35 a 39 anos,"800,00","900,00","700,00"
Pedreira,40 a 44 anos,"980,00","1000,00","771,50"
Pedreira,45 a 49 anos,"1000,00","1100,00","800,00"
Pedreira,50 a 54 anos,"1020,00","1200,00","955,00"
Pedreira,55 a 59 anos,"1020,00","1350,00","900,00"
Pedreira,60 a 69 anos,"800,00","1020,00","600,00"
Pedreira,70 anos ou mais,"510,00","700,00","510,00"
Reduto,Total,"2300,00","3000,00","2000,00"
Reduto,10 a 14 anos,"700,00","510,00","700,00"
Reduto,15 a 19 anos,"600,00","850,00","510,00"
Reduto,15 a 17 anos,"800,00","1050,00","510,00"
Reduto,18 ou 19 anos,"575,00","800,00","510,00"
Reduto,20 a 24 anos,"800,00","800,00","750,00"
Reduto,25 a 29 anos,"1500,00","1800,00","1500,00"
Reduto,30 a 34 anos,"2000,00","2500,00","1950,00"
Reduto,35 a 39 anos,"2500,00","3000,00","2000,00"
Reduto,40 a 44 anos,"2775,00","3500,00","2300,00"
Reduto,45 a 49 anos,"3000,00","4000,00","2700,00"
Reduto,50 a 54 anos,"3500,00","5000,00","2700,00"
Reduto,55 a 59 anos,"4000,00","5000,00","3075,00"
