Bairro,Grupo de idade,Total,Total.1,Total.2
Souza,55 a 59 anos,"5,96","2,79","3,17"
Souza,60 a 69 anos,"7,56","3,47","4,09"
Souza,70 anos ou mais,"7,26","2,82","4,44"
Telégrafo,Total,"100,00","51,61","48,39"
Telégrafo,10 a 14 anos,"0,97","0,46","0,51"
Telégrafo,15 a 19 anos,"2,42","1,31","1,11"
Telégrafo,15 a 17 anos,"1,03","0,51","0,52"
Telégrafo,18 ou 19 anos,"1,39","0,80","0,59"
Telégrafo,20 a 24 anos,"8,30","4,74","3,56"
Telégrafo,25 a 29 anos,"12,20","6,73","5,47"
Telégrafo,30 a 34 anos,"12,20","6,67","5,53"
Telégrafo,35 a 39 anos,"11,69","6,24","5,45"
Telégrafo,40 a 44 anos,"10,52","5,68","4,85"
Telégrafo,45 a 49 anos,"9,20","5,00","4,20"
Telégrafo,50 a 54 anos,"7,88","4,07","3,80"
Telégrafo,55 a 59 anos,"5,99","3,04","2,95"
Telégrafo,60 a 69 anos,"9,26","4,09","5,16"
Telégrafo,70 anos ou mais,"9,37","3,59","5,79"
Montese (Terra Firme),Total,"100,00","53,75","46,25"
Montese (Terra Firme),10 a 14 anos,"1,52","0,79","0,73"
Montese (Terra Firme),15 a 19 anos,"3,67","2,16","1,51"
Montese (Terra Firme),15 a 17 anos,"1,54","0,92","0,63"
Montese (Terra Firme),18 ou 19 anos,"2,13","1,25","0,88"
Montese (Terra Firme),20 a 24 anos,"10,75","6,20","4,55"
Montese (Terra Firme),25 a 29 anos,"14,56","8,10","6,46"
Montese (Terra Firme),30 a 34 anos,"14,05","7,70","6,34"
Montese (Terra Firme),35 a 39 anos,"12,17","6,55","5,61"
Montese (Terra Firme),40 a 44 anos,"10,27","5,58","4,68"
Montese (Terra Firme),45 a 49 anos,"8,39","4,36","4,03"
Montese (Terra Firme),50 a 54 anos,"7,31","4,04","3,27"
Montese (Terra Firme),55 a 59 anos,"5,32","2,89","2,43"
Montese (Terra Firme),60 a 69 anos,"7,05","3,39","3,66"
Montese (Terra Firme),70 anos ou mais,"4,94","1,97","2,97"
Campina,Total,"100,00","45,68","54,32"
Campina,10 a 14 anos,"0,33","0,13","0,20"
Campina,15 a 19 anos,"1,71","0,66","1,04"
Campina,15 a 17 anos,"0,31","0,18","0,13"
Campina,18 ou 19 anos,"1,40","0,48","0,92"
Campina,20 a 24 anos,"8,05","3,95","4,10"
Campina,25 a 29 anos,"11,69","5,55","6,14"
Campina,30 a 34 anos,"9,80","4,28","5,53"
Campina,35 a 39 anos,"9,75","4,74","5,02"
Campina,40 a 44 anos,"9,14","4,43","4,71"
Campina,45 a 49 anos,"9,85","4,84","5,02"
Campina,50 a 54 anos,"9,12","4,61","4,51"
Campina,55 a 59 anos,"7,72","3,28","4,43"
Campina,60 a 69 anos,"11,51","5,14","6,37"
Campina,70 anos ou mais,"11,33","4,07","7,26"
Umarizal,Total,"100,00","46,08","53,92"
Umarizal,10 a 14 anos,"0,36","0,22","0,14"
Umarizal,15 a 19 anos,"1,57","0,75","0,82"
Umarizal,15 a 17 anos,"0,43","0,17","0,26"
Umarizal,18 ou 19 anos,"1,15","0,58","0,56"
Umarizal,20 a 24 anos,"7,18","3,46","3,72"
Umarizal,25 a 29 anos,"10,68","5,23","5,45"
Umarizal,30 a 34 anos,"10,04","4,92","5,12"
Umarizal,35 a 39 anos,"9,38","4,43","4,95"
Umarizal,40 a 44 anos,"9,88","4,73","5,14"
Umarizal,45 a 49 anos,"10,23","5,04","5,18"
Umarizal,50 a 54 anos,"9,58","4,41","5,17"
Umarizal,55 a 59 anos,"7,72","3,66","4,05"
Umarizal,60 a 69 anos,"11,24","4,98","6,26"
Umarizal,70 anos ou mais,"12,16","4,25","7,91"
Barreiro,Total,"100,00","55,68","44,32"
Barreiro,10 a 14 anos,"1,24","0,55","0,69"
Barreiro,15 a 19 anos,"4,15","2,49","1,66"
Barreiro,15 a 17 anos,"1,69","0,90","0,78"
Barreiro,18 ou 19 anos,"2,46","1,58","0,88"
Barreiro,20 a 24 anos,"11,16","6,68","4,48"
Barreiro,25 a 29 anos,"15,31","8,84","6,47"
Barreiro,30 a 34 anos,"15,08","8,54","6,54"
Barreiro,35 a 39 anos,"13,37","7,54","5,82"
Barreiro,40 a 44 anos,"10,29","5,59","4,69"
Barreiro,45 a 49 anos,"7,43","4,01","3,41"
Barreiro,50 a 54 anos,"6,09","3,47","2,61"
Barreiro,55 a 59 anos,"4,96","2,83","2,14"
Barreiro,60 a 69 anos,"6,45","3,35","3,11"
Barreiro,70 anos ou mais,"4,47","1,79","2,68"
Maracangalha,Total,"100,00","53,83","46,17"
Maracangalha,10 a 14 anos,"1,44","0,63","0,81"
Maracangalha,15 a 19 anos,"3,24","1,88","1,36"
Maracangalha,15 a 17 anos,"1,40","0,81","0,59"
Maracangalha,18 ou 19 anos,"1,84","1,07","0,77"
Maracangalha,20 a 24 anos,"9,53","5,46","4,06"
Maracangalha,25 a 29 anos,"13,52","7,69","5,83"
Maracangalha,30 a 34 anos,"13,77","7,44","6,33"
Maracangalha,35 a 39 anos,"12,36","6,94","5,42"
Maracangalha,40 a 44 anos,"10,84","5,77","5,07"
Maracangalha,45 a 49 anos,"8,51","4,56","3,95"
Maracangalha,50 a 54 anos,"8,10","4,66","3,45"
Maracangalha,55 a 59 anos,"5,76","3,01","2,75"
Maracangalha,60 a 69 anos,"7,06","3,40","3,66"
Maracangalha,70 anos ou mais,"5,86","2,38","3,48"
Miramar,Total,"100,00","54,41","45,59"
Miramar,10 a 14 anos,"3,45","1,15","2,30"
Miramar,15 a 19 anos,"6,13","3,45","2,68"
Miramar,15 a 17 anos,"3,45","1,92","1,53"
Miramar,18 ou 19 anos,"2,68","1,53","1,15"
Miramar,20 a 24 anos,"7,66","3,83","3,83"
Miramar,25 a 29 anos,"10,73","4,98","5,75"
Miramar,30 a 34 anos,"21,84","12,26","9,58"
Miramar,35 a 39 anos,"12,26","6,90","5,36"
Miramar,40 a 44 anos,"9,20","5,36","3,83"
Miramar,45 a 49 anos,"10,34","5,36","4,98"
Miramar,50 a 54 anos,"6,13","3,83","2,30"
Miramar,55 a 59 anos,"4,60","2,68","1,92"
Miramar,60 a 69 anos,"5,36","3,45","1,92"
Miramar,70 anos ou mais,"2,30","1,15","1,15"
Curió-Utinga,Total,"100,00","51,70","48,30"
