Bairro,Grupo de idade,N,N Homens,N Mulheres,P,P Homens,P Mulheres,avg,avg Homens,avg Mulheres,mdn,mdn Homens,mdn Mulheres
Condor,10 a 14 anos,194.0,87.0,107.0,0.93,0.42,0.51,207.76,197.48,216.12,100.0,100.0,109.0
Condor,15 a 19 anos,619.0,352.0,267.0,2.96,1.68,1.28,405.91,414.28,394.88,400.0,420.0,400.0
Condor,15 a 17 anos,271.0,154.0,117.0,1.3,0.74,0.56,323.83,361.29,274.54,255.0,300.0,250.0
Condor,18 ou 19 anos,348.0,198.0,150.0,1.66,0.95,0.72,469.82,455.49,488.75,510.0,510.0,510.0
Condor,20 a 24 anos,1964.0,1067.0,897.0,9.39,5.1,4.29,588.17,635.85,531.45,510.0,510.0,510.0
Condor,25 a 29 anos,2735.0,1519.0,1216.0,13.08,7.26,5.81,733.37,794.19,657.39,510.0,510.0,510.0
Condor,30 a 34 anos,2867.0,1543.0,1324.0,13.71,7.38,6.33,830.12,894.98,754.55,510.0,600.0,510.0
Condor,35 a 39 anos,2542.0,1375.0,1167.0,12.15,6.57,5.58,863.13,917.31,799.3,510.0,600.0,510.0
Condor,40 a 44 anos,2285.0,1218.0,1067.0,10.92,5.82,5.1,950.2,1061.63,823.01,600.0,700.0,510.0
Condor,45 a 49 anos,1877.0,1003.0,874.0,8.97,4.8,4.18,1035.49,1167.08,884.48,600.0,800.0,510.0
Condor,50 a 54 anos,1599.0,836.0,763.0,7.64,4.0,3.65,1025.13,1170.94,865.36,600.0,750.0,510.0
Condor,55 a 59 anos,1147.0,609.0,538.0,5.48,2.91,2.57,1101.65,1253.84,929.37,600.0,760.0,510.0
Condor,60 a 69 anos,1633.0,752.0,881.0,7.81,3.6,4.21,951.87,1143.37,788.42,510.0,600.0,510.0
Condor,70 anos ou mais,1455.0,557.0,898.0,6.96,2.66,4.29,747.64,868.26,672.82,510.0,510.0,510.0
Cremação,Total,17096.0,8268.0,8828.0,100.0,48.36,51.64,1769.97,2033.11,1523.52,800.0,900.0,650.0
Cremação,10 a 14 anos,111.0,58.0,53.0,0.65,0.34,0.31,364.46,505.19,210.45,130.0,212.0,120.0
Cremação,15 a 19 anos,403.0,216.0,187.0,2.36,1.26,1.09,590.17,618.21,557.79,510.0,510.0,500.0
Cremação,15 a 17 anos,152.0,78.0,74.0,0.89,0.46,0.43,520.08,601.42,434.34,400.0,500.0,300.0
Cremação,18 ou 19 anos,251.0,138.0,113.0,1.47,0.81,0.66,632.62,627.7,638.63,510.0,510.0,510.0
Cremação,20 a 24 anos,1348.0,705.0,643.0,7.88,4.12,3.76,795.94,811.12,779.29,510.0,510.0,510.0
Cremação,25 a 29 anos,2041.0,1058.0,983.0,11.94,6.19,5.75,1160.47,1249.37,1064.78,667.0,700.0,600.0
Cremação,30 a 34 anos,1933.0,1005.0,928.0,11.31,5.88,5.43,1463.19,1628.72,1283.93,760.0,800.0,700.0
Cremação,35 a 39 anos,1838.0,905.0,933.0,10.75,5.29,5.46,1556.44,1747.48,1371.13,800.0,1000.0,630.0
Cremação,40 a 44 anos,1814.0,879.0,935.0,10.61,5.14,5.47,1774.57,2024.19,1539.9,800.0,1000.0,700.0
Cremação,45 a 49 anos,1673.0,835.0,838.0,9.79,4.88,4.9,2278.64,2736.52,1822.39,1000.0,1021.0,805.0
Cremação,50 a 54 anos,1424.0,720.0,704.0,8.33,4.21,4.12,2487.27,2818.41,2148.61,1053.0,1300.0,1000.0
Cremação,55 a 59 anos,1160.0,569.0,591.0,6.79,3.33,3.46,2784.41,3144.12,2438.08,1200.0,1500.0,1020.0
Cremação,60 a 69 anos,1735.0,755.0,980.0,10.15,4.42,5.73,2545.41,3230.14,2017.89,1020.0,1200.0,900.0
Cremação,70 anos ou mais,1616.0,563.0,1053.0,9.45,3.29,6.16,1628.26,2155.66,1346.28,510.0,800.0,510.0
Guamá,Total,44917.0,23841.0,21076.0,100.0,53.08,46.92,940.73,1022.52,848.2,510.0,600.0,510.0
Guamá,10 a 14 anos,451.0,226.0,225.0,1.0,0.5,0.5,217.35,237.54,197.08,95.0,100.0,90.0
Guamá,15 a 19 anos,1295.0,754.0,541.0,2.88,1.68,1.2,400.47,425.6,365.45,400.0,400.0,300.0
Guamá,15 a 17 anos,510.0,295.0,215.0,1.14,0.66,0.48,326.68,346.13,299.99,255.0,280.0,230.0
Guamá,18 ou 19 anos,785.0,459.0,326.0,1.75,1.02,0.73,448.41,476.68,408.61,510.0,510.0,467.5
Guamá,20 a 24 anos,4299.0,2456.0,1843.0,9.57,5.47,4.1,595.45,636.8,540.34,510.0,510.0,510.0
Guamá,25 a 29 anos,5954.0,3410.0,2544.0,13.26,7.59,5.66,766.1,820.95,692.57,510.0,510.0,510.0
Guamá,30 a 34 anos,5946.0,3236.0,2710.0,13.24,7.2,6.03,858.8,917.5,788.7,510.0,600.0,510.0
Guamá,35 a 39 anos,5617.0,3057.0,2560.0,12.51,6.81,5.7,945.6,1050.58,820.25,560.0,678.0,510.0
Guamá,40 a 44 anos,4836.0,2600.0,2236.0,10.77,5.79,4.98,1029.69,1144.09,896.65,600.0,700.0,510.0
Guamá,45 a 49 anos,4025.0,2175.0,1850.0,8.96,4.84,4.12,1116.97,1203.42,1015.34,600.0,750.0,510.0
Guamá,50 a 54 anos,3319.0,1752.0,1567.0,7.39,3.9,3.49,1218.74,1363.66,1056.7,600.0,735.0,510.0
Guamá,55 a 59 anos,2489.0,1291.0,1198.0,5.54,2.87,2.67,1231.95,1341.04,1114.4,600.0,750.0,510.0
Guamá,60 a 69 anos,3587.0,1711.0,1876.0,7.99,3.81,4.18,1188.5,1345.77,1045.07,510.0,600.0,510.0
Guamá,70 anos ou mais,3099.0,1173.0,1926.0,6.9,2.61,4.29,1048.43,1231.1,937.18,510.0,510.0,510.0
Jurunas,Total,32828.0,16973.0,15855.0,100.0,51.7,48.3,1065.28,1164.85,958.69,510.0,600.0,510.0
Jurunas,10 a 14 anos,348.0,180.0,168.0,1.06,0.55,0.51,262.76,314.33,207.5,100.0,110.0,90.0
Jurunas,15 a 19 anos,1000.0,556.0,444.0,3.05,1.69,1.35,414.52,440.87,381.52,400.0,500.0,382.0
Jurunas,15 a 17 anos,421.0,233.0,188.0,1.28,0.71,0.57,320.99,347.25,288.45,260.0,300.0,255.0
Jurunas,18 ou 19 anos,579.0,323.0,256.0,1.76,0.98,0.78,482.52,508.41,449.87,510.0,510.0,510.0
Jurunas,20 a 24 anos,3123.0,1768.0,1355.0,9.51,5.39,4.13,641.68,688.17,581.03,510.0,510.0,510.0
Jurunas,25 a 29 anos,4313.0,2314.0,1999.0,13.14,7.05,6.09,827.55,873.19,774.73,510.0,510.0,510.0
Jurunas,30 a 34 anos,4330.0,2326.0,2004.0,13.19,7.09,6.1,960.7,1053.07,853.48,510.0,600.0,510.0
Jurunas,35 a 39 anos,3915.0,2103.0,1812.0,11.93,6.41,5.52,1043.76,1114.68,961.44,510.0,620.0,510.0
Jurunas,40 a 44 anos,3488.0,1822.0,1666.0,10.63,5.55,5.07,1205.05,1343.72,1053.4,600.0,700.0,510.0
Jurunas,45 a 49 anos,2825.0,1467.0,1358.0,8.61,4.47,4.14,1327.24,1451.87,1192.61,665.0,800.0,510.0
Jurunas,50 a 54 anos,2453.0,1272.0,1181.0,7.47,3.87,3.6,1381.08,1544.96,1204.57,600.0,800.0,510.0
Jurunas,55 a 59 anos,1862.0,957.0,905.0,5.67,2.92,2.76,1475.31,1667.91,1271.65,700.0,800.0,510.0
Jurunas,60 a 69 anos,2693.0,1283.0,1410.0,8.2,3.91,4.3,1282.97,1534.21,1054.36,510.0,600.0,510.0
Jurunas,70 anos ou mais,2478.0,925.0,1553.0,7.55,2.82,4.73,1252.29,1438.34,1141.47,510.0,510.0,510.0
