Bairro,Grupo de idade,N,N Homens,N Mulheres,P,P Homens,P Mulheres,avg,avg Homens,avg Mulheres,mdn,mdn Homens,mdn Mulheres
Sacramenta,50 a 54 anos,1663.0,909.0,754.0,7.32,4.0,3.32,1028.25,1180.16,845.11,610.0,800.0,510.0
Sacramenta,55 a 59 anos,1287.0,650.0,637.0,5.67,2.86,2.81,1122.52,1314.85,926.27,700.0,815.0,510.0
Sacramenta,60 a 69 anos,1939.0,896.0,1043.0,8.54,3.95,4.59,1153.24,1498.99,856.22,510.0,750.0,510.0
Sacramenta,70 anos ou mais,1652.0,598.0,1054.0,7.27,2.63,4.64,848.04,1043.95,736.88,510.0,510.0,510.0
São Brás,Total,12321.0,5495.0,6826.0,100.0,44.6,55.4,2918.1,3607.25,2363.32,1500.0,2000.0,1268.0
São Brás,10 a 14 anos,32.0,16.0,16.0,0.26,0.13,0.13,1077.25,1000.0,1154.5,450.0,505.0,325.0
São Brás,15 a 19 anos,211.0,109.0,102.0,1.71,0.88,0.83,790.5,820.21,758.75,510.0,535.0,510.0
São Brás,15 a 17 anos,69.0,30.0,39.0,0.56,0.24,0.32,762.43,746.7,774.54,510.0,505.0,510.0
São Brás,18 ou 19 anos,142.0,79.0,63.0,1.15,0.64,0.51,804.14,848.13,748.98,510.0,600.0,510.0
São Brás,20 a 24 anos,924.0,432.0,492.0,7.5,3.51,3.99,1054.47,1211.69,916.42,600.0,700.0,600.0
São Brás,25 a 29 anos,1310.0,621.0,689.0,10.63,5.04,5.59,1790.0,2024.94,1578.24,1020.0,1200.0,1000.0
São Brás,30 a 34 anos,1272.0,619.0,653.0,10.32,5.02,5.3,2610.43,3038.4,2204.75,1500.0,1600.0,1200.0
São Brás,35 a 39 anos,1033.0,472.0,561.0,8.38,3.83,4.55,2680.44,3221.07,2225.59,1500.0,1750.0,1300.0
São Brás,40 a 44 anos,1118.0,517.0,601.0,9.07,4.2,4.88,3158.77,3808.06,2600.23,1800.0,2000.0,1500.0
São Brás,45 a 49 anos,1205.0,564.0,641.0,9.78,4.58,5.2,3520.64,4240.6,2887.17,2000.0,2500.0,1800.0
São Brás,50 a 54 anos,1170.0,524.0,646.0,9.5,4.25,5.24,3666.0,4668.84,2852.56,2000.0,2800.0,1743.5
São Brás,55 a 59 anos,994.0,447.0,547.0,8.07,3.63,4.44,4037.45,5152.15,3126.54,2500.0,2800.0,2100.0
São Brás,60 a 69 anos,1450.0,622.0,828.0,11.77,5.05,6.72,3935.14,5232.2,2960.78,2279.0,3000.0,1900.0
São Brás,70 anos ou mais,1602.0,552.0,1050.0,13.0,4.48,8.52,2847.52,3931.21,2277.81,1500.0,2045.0,1100.0
Souza,Total,7385.0,3674.0,3711.0,100.0,49.75,50.25,2043.96,2439.95,1651.92,1200.0,1500.0,1000.0
Souza,10 a 14 anos,27.0,14.0,13.0,0.37,0.19,0.18,359.7,360.79,358.54,200.0,250.0,200.0
Souza,15 a 19 anos,146.0,67.0,79.0,1.98,0.91,1.07,513.17,566.54,467.91,510.0,510.0,455.0
Souza,15 a 17 anos,35.0,16.0,19.0,0.47,0.22,0.26,359.8,473.31,264.21,300.0,510.0,255.0
Souza,18 ou 19 anos,111.0,51.0,60.0,1.5,0.69,0.81,561.53,595.78,532.42,510.0,510.0,510.0
Souza,20 a 24 anos,705.0,362.0,343.0,9.55,4.9,4.64,891.1,992.3,784.29,600.0,750.0,510.0
Souza,25 a 29 anos,978.0,478.0,500.0,13.24,6.47,6.77,1539.48,1730.74,1356.64,1000.0,1020.0,1000.0
Souza,30 a 34 anos,876.0,464.0,412.0,11.86,6.28,5.58,1887.75,2138.64,1605.19,1200.0,1500.0,1000.0
Souza,35 a 39 anos,878.0,466.0,412.0,11.89,6.31,5.58,2355.77,2799.59,1853.78,1530.0,2005.0,1200.0
Souza,40 a 44 anos,786.0,430.0,356.0,10.64,5.82,4.82,2685.65,3202.79,2061.01,1998.0,2500.0,1200.0
Souza,45 a 49 anos,797.0,408.0,389.0,10.79,5.52,5.27,2603.47,3208.98,1968.38,1800.0,2500.0,1200.0
Souza,50 a 54 anos,658.0,315.0,343.0,8.91,4.27,4.64,2551.34,3132.98,2017.19,1500.0,2000.0,1200.0
Souza,55 a 59 anos,440.0,206.0,234.0,5.96,2.79,3.17,2508.29,2870.63,2189.31,1600.0,2000.0,1500.0
Souza,60 a 69 anos,558.0,256.0,302.0,7.56,3.47,4.09,2244.91,2716.18,1845.43,1200.0,1800.0,1020.0
Souza,70 anos ou mais,536.0,208.0,328.0,7.26,2.82,4.44,1740.99,2297.45,1388.11,900.0,1200.0,700.0
Telégrafo,Total,21475.0,11084.0,10391.0,100.0,51.61,48.39,1009.73,1124.42,887.39,510.0,650.0,510.0
Telégrafo,10 a 14 anos,209.0,99.0,110.0,0.97,0.46,0.51,236.0,270.35,205.07,112.0,112.0,110.5
Telégrafo,15 a 19 anos,519.0,281.0,238.0,2.42,1.31,1.11,456.6,492.22,414.54,400.0,500.0,350.0
Telégrafo,15 a 17 anos,221.0,109.0,112.0,1.03,0.51,0.52,350.81,314.75,385.9,260.0,260.0,255.0
Telégrafo,18 ou 19 anos,298.0,172.0,126.0,1.39,0.8,0.59,535.05,604.69,439.99,510.0,510.0,510.0
Telégrafo,20 a 24 anos,1783.0,1018.0,765.0,8.3,4.74,3.56,641.26,692.34,573.29,510.0,510.0,510.0
Telégrafo,25 a 29 anos,2619.0,1445.0,1174.0,12.2,6.73,5.47,791.52,834.82,738.23,510.0,540.0,510.0
Telégrafo,30 a 34 anos,2620.0,1433.0,1187.0,12.2,6.67,5.53,938.23,1020.74,838.62,560.0,657.0,510.0
Telégrafo,35 a 39 anos,2510.0,1339.0,1171.0,11.69,6.24,5.45,987.45,1103.14,855.15,600.0,700.0,510.0
Telégrafo,40 a 44 anos,2260.0,1219.0,1041.0,10.52,5.68,4.85,1182.04,1378.61,951.86,650.0,780.0,510.0
Telégrafo,45 a 49 anos,1976.0,1074.0,902.0,9.2,5.0,4.2,1164.67,1281.84,1025.16,700.0,800.0,510.0
Telégrafo,50 a 54 anos,1692.0,875.0,817.0,7.88,4.07,3.8,1211.41,1327.35,1087.24,700.0,800.0,540.0
Telégrafo,55 a 59 anos,1286.0,652.0,634.0,5.99,3.04,2.95,1393.31,1550.33,1231.83,780.0,1000.0,600.0
Telégrafo,60 a 69 anos,1988.0,879.0,1109.0,9.26,4.09,5.16,1179.6,1385.91,1016.07,510.0,800.0,510.0
Telégrafo,70 anos ou mais,2013.0,770.0,1243.0,9.37,3.59,5.79,1035.9,1297.8,873.66,510.0,510.0,510.0
Montese (Terra Firme),Total,29712.0,15970.0,13742.0,100.0,53.75,46.25,714.43,798.24,617.04,510.0,510.0,510.0
Montese (Terra Firme),10 a 14 anos,452.0,236.0,216.0,1.52,0.79,0.73,155.79,170.56,139.67,90.0,90.0,80.0
Montese (Terra Firme),15 a 19 anos,1090.0,642.0,448.0,3.67,2.16,1.51,348.37,371.4,315.37,300.0,400.0,255.0
Montese (Terra Firme),15 a 17 anos,458.0,272.0,186.0,1.54,0.92,0.63,253.41,264.75,236.83,200.0,240.0,150.0
Montese (Terra Firme),18 ou 19 anos,632.0,370.0,262.0,2.13,1.25,0.88,417.19,449.81,371.13,500.0,510.0,400.0
Montese (Terra Firme),20 a 24 anos,3195.0,1842.0,1353.0,10.75,6.2,4.55,532.19,572.15,477.79,510.0,510.0,510.0
Montese (Terra Firme),25 a 29 anos,4325.0,2407.0,1918.0,14.56,8.1,6.46,633.12,694.48,556.11,510.0,510.0,510.0
Montese (Terra Firme),30 a 34 anos,4174.0,2289.0,1885.0,14.05,7.7,6.34,696.6,776.08,600.1,510.0,510.0,510.0
Montese (Terra Firme),35 a 39 anos,3615.0,1947.0,1668.0,12.17,6.55,5.61,745.0,818.28,659.46,510.0,600.0,510.0
Montese (Terra Firme),40 a 44 anos,3051.0,1659.0,1392.0,10.27,5.58,4.68,813.96,933.25,671.79,510.0,600.0,510.0
Montese (Terra Firme),45 a 49 anos,2493.0,1296.0,1197.0,8.39,4.36,4.03,824.3,947.0,691.45,510.0,700.0,510.0
Montese (Terra Firme),50 a 54 anos,2173.0,1201.0,972.0,7.31,4.04,3.27,902.98,1029.54,746.61,510.0,690.0,510.0
Montese (Terra Firme),55 a 59 anos,1580.0,858.0,722.0,5.32,2.89,2.43,875.76,1038.16,682.76,510.0,600.0,510.0
Montese (Terra Firme),60 a 69 anos,2095.0,1007.0,1088.0,7.05,3.39,3.66,819.94,928.92,719.07,510.0,510.0,510.0
Montese (Terra Firme),70 anos ou mais,1469.0,586.0,883.0,4.94,1.97,2.97,773.14,914.48,679.34,510.0,510.0,510.0
Campina,Total,3927.0,1794.0,2133.0,100.0,45.68,54.32,2951.02,3559.97,2438.85,1530.0,2000.0,1500.0
Campina,10 a 14 anos,13.0,5.0,8.0,0.33,0.13,0.2,747.85,730.0,759.0,510.0,150.0,615.0
Campina,15 a 19 anos,67.0,26.0,41.0,1.71,0.66,1.04,894.01,967.69,847.29,510.0,555.0,510.0
Campina,15 a 17 anos,12.0,7.0,5.0,0.31,0.18,0.13,718.33,515.71,1002.0,510.0,510.0,600.0
Campina,18 ou 19 anos,55.0,19.0,36.0,1.4,0.48,0.92,932.35,1134.21,825.81,510.0,850.0,510.0
Campina,20 a 24 anos,316.0,155.0,161.0,8.05,3.95,4.1,1331.82,1517.21,1153.34,800.0,900.0,760.0
Campina,25 a 29 anos,459.0,218.0,241.0,11.69,5.55,6.14,1920.47,2110.15,1748.89,1200.0,1200.0,1100.0
Campina,30 a 34 anos,385.0,168.0,217.0,9.8,4.28,5.53,2203.92,2669.91,1843.16,1200.0,1500.0,1021.0
Campina,35 a 39 anos,383.0,186.0,197.0,9.75,4.74,5.02,2456.58,2573.13,2346.54,1500.0,1500.0,1300.0
Campina,40 a 44 anos,359.0,174.0,185.0,9.14,4.43,4.71,3406.39,3947.96,2897.02,2000.0,2650.0,2000.0
Campina,45 a 49 anos,387.0,190.0,197.0,9.85,4.84,5.02,3356.03,4105.7,2632.99,2000.0,2000.0,2000.0
Campina,50 a 54 anos,358.0,181.0,177.0,9.12,4.61,4.51,3997.77,4987.49,2985.68,2500.0,3000.0,2000.0
Campina,55 a 59 anos,303.0,129.0,174.0,7.72,3.28,4.43,3657.44,4590.48,2965.7,2500.0,3000.0,2000.0
Campina,60 a 69 anos,452.0,202.0,250.0,11.51,5.14,6.37,3916.03,4938.69,3089.72,2000.0,2200.0,1680.0
Campina,70 anos ou mais,445.0,160.0,285.0,11.33,4.07,7.26,3586.94,4849.39,2878.19,2000.0,2400.0,1600.0
Umarizal,Total,18063.0,8324.0,9739.0,100.0,46.08,53.92,3011.72,3689.81,2432.15,1500.0,1700.0,1200.0
Umarizal,10 a 14 anos,65.0,39.0,26.0,0.36,0.22,0.14,739.89,729.51,755.46,510.0,510.0,510.0
Umarizal,15 a 19 anos,284.0,135.0,149.0,1.57,0.75,0.82,611.17,667.11,560.48,510.0,510.0,510.0
Umarizal,15 a 17 anos,77.0,30.0,47.0,0.43,0.17,0.26,463.69,381.0,516.47,360.0,330.0,400.0
Umarizal,18 ou 19 anos,207.0,105.0,102.0,1.15,0.58,0.56,666.03,748.86,580.76,510.0,510.0,510.0
Umarizal,20 a 24 anos,1297.0,625.0,672.0,7.18,3.46,3.72,1067.04,1240.01,906.17,600.0,660.0,510.0
Umarizal,25 a 29 anos,1929.0,945.0,984.0,10.68,5.23,5.45,1872.45,2090.58,1662.96,1000.0,1200.0,1000.0
Umarizal,30 a 34 anos,1813.0,888.0,925.0,10.04,4.92,5.12,2794.61,3214.85,2391.17,1300.0,1500.0,1100.0
Umarizal,35 a 39 anos,1694.0,800.0,894.0,9.38,4.43,4.95,3084.37,3660.22,2569.07,1500.0,1500.0,1200.0
Umarizal,40 a 44 anos,1784.0,855.0,929.0,9.88,4.73,5.14,3486.83,4249.24,2785.15,1530.0,2000.0,1500.0
Umarizal,45 a 49 anos,1847.0,911.0,936.0,10.23,5.04,5.18,3628.55,4211.96,3060.72,2000.0,2000.0,1650.0
Umarizal,50 a 54 anos,1730.0,797.0,933.0,9.58,4.41,5.17,4119.19,5085.47,3293.77,2000.0,2550.0,2000.0
Umarizal,55 a 59 anos,1394.0,662.0,732.0,7.72,3.66,4.05,4170.6,5087.56,3341.33,2500.0,3000.0,2000.0
Umarizal,60 a 69 anos,2030.0,900.0,1130.0,11.24,4.98,6.26,3701.44,4949.46,2707.45,2000.0,2750.0,1500.0
Umarizal,70 anos ou mais,2196.0,767.0,1429.0,12.16,4.25,7.91,2511.45,3541.18,1958.75,1200.0,2000.0,1000.0
Barreiro,Total,11743.0,6539.0,5204.0,100.0,55.68,44.32,614.42,679.72,532.37,510.0,510.0,510.0
Barreiro,10 a 14 anos,146.0,65.0,81.0,1.24,0.55,0.69,172.73,184.66,163.16,101.0,112.0,100.0
Barreiro,15 a 19 anos,487.0,292.0,195.0,4.15,2.49,1.66,361.36,410.43,287.88,400.0,510.0,220.0
Barreiro,15 a 17 anos,198.0,106.0,92.0,1.69,0.9,0.78,273.59,317.76,222.68,200.0,252.5,180.0
Barreiro,18 ou 19 anos,289.0,186.0,103.0,2.46,1.58,0.88,421.5,463.25,346.11,510.0,510.0,300.0
Barreiro,20 a 24 anos,1310.0,784.0,526.0,11.16,6.68,4.48,507.5,553.24,439.32,510.0,510.0,510.0
Barreiro,25 a 29 anos,1798.0,1038.0,760.0,15.31,8.84,6.47,583.5,642.05,503.54,510.0,510.0,510.0
Barreiro,30 a 34 anos,1771.0,1003.0,768.0,15.08,8.54,6.54,595.16,647.31,527.06,510.0,510.0,510.0
Barreiro,35 a 39 anos,1570.0,886.0,684.0,13.37,7.54,5.82,630.12,682.99,561.64,510.0,510.0,510.0
Barreiro,40 a 44 anos,1208.0,657.0,551.0,10.29,5.59,4.69,688.19,759.89,602.71,510.0,510.0,510.0
Barreiro,45 a 49 anos,872.0,471.0,401.0,7.43,4.01,3.41,722.54,836.89,588.24,510.0,510.0,510.0
Barreiro,50 a 54 anos,715.0,408.0,307.0,6.09,3.47,2.61,716.54,820.45,578.45,510.0,600.0,510.0
Barreiro,55 a 59 anos,583.0,332.0,251.0,4.96,2.83,2.14,729.46,840.15,583.05,510.0,550.0,510.0
Barreiro,60 a 69 anos,758.0,393.0,365.0,6.45,3.35,3.11,693.92,768.19,613.95,510.0,510.0,510.0
Barreiro,70 anos ou mais,525.0,210.0,315.0,4.47,1.79,2.68,631.78,710.96,578.99,510.0,510.0,510.0
Maracangalha,Total,14991.0,8069.0,6922.0,100.0,53.83,46.17,937.92,1093.19,756.91,510.0,700.0,510.0
Maracangalha,10 a 14 anos,216.0,95.0,121.0,1.44,0.63,0.81,173.13,184.29,164.36,80.0,66.0,80.0
Maracangalha,15 a 19 anos,486.0,282.0,204.0,3.24,1.88,1.36,399.63,427.94,360.5,400.0,500.0,300.0
Maracangalha,15 a 17 anos,210.0,121.0,89.0,1.4,0.81,0.59,300.05,323.57,268.07,250.0,255.0,200.0
Maracangalha,18 ou 19 anos,276.0,161.0,115.0,1.84,1.07,0.77,475.4,506.38,432.03,510.0,510.0,510.0
Maracangalha,20 a 24 anos,1428.0,819.0,609.0,9.53,5.46,4.06,669.07,738.63,575.52,510.0,510.0,510.0
Maracangalha,25 a 29 anos,2027.0,1153.0,874.0,13.52,7.69,5.83,793.57,861.09,704.5,510.0,600.0,510.0
Maracangalha,30 a 34 anos,2065.0,1116.0,949.0,13.77,7.44,6.33,885.79,994.45,758.0,600.0,700.0,510.0
Maracangalha,35 a 39 anos,1853.0,1040.0,813.0,12.36,6.94,5.42,984.44,1157.36,763.24,650.0,800.0,510.0
Maracangalha,40 a 44 anos,1625.0,865.0,760.0,10.84,5.77,5.07,1067.66,1239.29,872.33,634.0,800.0,510.0
Maracangalha,45 a 49 anos,1275.0,683.0,592.0,8.51,4.56,3.95,1187.09,1459.99,872.24,700.0,900.0,510.0
Maracangalha,50 a 54 anos,1215.0,698.0,517.0,8.1,4.66,3.45,1184.96,1444.31,834.82,700.0,1000.0,510.0
Maracangalha,55 a 59 anos,863.0,451.0,412.0,5.76,3.01,2.75,1281.51,1573.02,962.4,700.0,1000.0,510.0
Maracangalha,60 a 69 anos,1059.0,510.0,549.0,7.06,3.4,3.66,1094.37,1336.81,869.15,510.0,750.0,510.0
Maracangalha,70 anos ou mais,879.0,357.0,522.0,5.86,2.38,3.48,748.85,848.87,680.45,510.0,510.0,510.0
Miramar,Total,261.0,142.0,119.0,100.0,54.41,45.59,1208.26,1421.39,953.92,600.0,700.0,510.0
Miramar,10 a 14 anos,9.0,3.0,6.0,3.45,1.15,2.3,135.33,104.67,150.67,120.0,120.0,89.0
Miramar,15 a 19 anos,16.0,9.0,7.0,6.13,3.45,2.68,321.63,341.0,296.71,277.5,300.0,255.0
Miramar,15 a 17 anos,9.0,5.0,4.0,3.45,1.92,1.53,255.11,160.8,373.0,150.0,58.0,318.0
Miramar,18 ou 19 anos,7.0,4.0,3.0,2.68,1.53,1.15,407.14,566.25,195.0,300.0,582.5,255.0
Miramar,20 a 24 anos,20.0,10.0,10.0,7.66,3.83,3.83,766.0,574.0,958.0,510.0,510.0,510.0
Miramar,25 a 29 anos,28.0,13.0,15.0,10.73,4.98,5.75,1167.14,713.85,1560.0,585.0,510.0,750.0
Miramar,30 a 34 anos,57.0,32.0,25.0,21.84,12.26,9.58,1340.79,1664.75,926.12,770.0,1010.0,600.0
Miramar,35 a 39 anos,32.0,18.0,14.0,12.26,6.9,5.36,829.78,891.28,750.71,600.0,755.0,510.0
Miramar,40 a 44 anos,24.0,14.0,10.0,9.2,5.36,3.83,1777.08,2495.71,771.0,510.0,855.0,505.0
Miramar,45 a 49 anos,27.0,14.0,13.0,10.34,5.36,4.98,1696.96,2144.29,1215.23,700.0,775.0,510.0
Miramar,50 a 54 anos,16.0,10.0,6.0,6.13,3.83,2.3,1004.69,964.0,1072.5,650.0,750.0,550.0
Miramar,55 a 59 anos,12.0,7.0,5.0,4.6,2.68,1.92,2680.0,3587.14,1410.0,1350.0,1800.0,700.0
Miramar,60 a 69 anos,14.0,9.0,5.0,5.36,3.45,1.92,1215.71,1437.78,816.0,510.0,510.0,510.0
Miramar,70 anos ou mais,6.0,3.0,3.0,2.3,1.15,1.15,715.0,490.0,940.0,510.0,510.0,510.0
Curió-Utinga,Total,8671.0,4483.0,4188.0,100.0,51.7,48.3,1178.79,1318.85,1028.86,600.0,730.0,510.0
Curió-Utinga,10 a 14 anos,79.0,50.0,29.0,0.91,0.58,0.33,266.82,247.3,300.48,150.0,140.0,200.0
Curió-Utinga,15 a 19 anos,242.0,136.0,106.0,2.79,1.57,1.22,459.0,525.09,374.22,500.0,510.0,359.5
Curió-Utinga,15 a 17 anos,102.0,58.0,44.0,1.18,0.67,0.51,378.73,452.33,281.7,300.0,400.0,250.0
Curió-Utinga,18 ou 19 anos,140.0,78.0,62.0,1.61,0.9,0.72,517.49,579.19,439.87,510.0,510.0,505.0
Curió-Utinga,20 a 24 anos,876.0,478.0,398.0,10.1,5.51,4.59,692.53,736.96,639.18,510.0,510.0,510.0
Curió-Utinga,25 a 29 anos,1146.0,622.0,524.0,13.22,7.17,6.04,912.62,949.55,868.78,560.0,600.0,510.0
Curió-Utinga,30 a 34 anos,1061.0,572.0,489.0,12.24,6.6,5.64,987.28,1067.7,893.21,600.0,700.0,510.0
Curió-Utinga,35 a 39 anos,1021.0,521.0,500.0,11.77,6.01,5.77,1055.18,1191.12,913.54,600.0,800.0,510.0
Curió-Utinga,40 a 44 anos,906.0,473.0,433.0,10.45,5.45,4.99,1222.37,1432.46,992.88,700.0,800.0,510.0
Curió-Utinga,45 a 49 anos,768.0,400.0,368.0,8.86,4.61,4.24,1427.73,1595.6,1245.27,800.0,1000.0,600.0
Curió-Utinga,50 a 54 anos,697.0,366.0,331.0,8.04,4.22,3.82,1663.94,1966.01,1329.92,800.0,1020.0,600.0
Curió-Utinga,55 a 59 anos,530.0,281.0,249.0,6.11,3.24,2.87,1790.58,2034.04,1515.84,900.0,1000.0,700.0
Curió-Utinga,60 a 69 anos,691.0,306.0,385.0,7.97,3.53,4.44,1623.95,1989.86,1333.13,840.0,1200.0,549.0
Curió-Utinga,70 anos ou mais,654.0,278.0,376.0,7.54,3.21,4.34,1340.78,1577.83,1165.51,512.5,777.5,510.0
Val-de-Cães,Total,3642.0,1987.0,1655.0,100.0,54.56,45.44,2800.99,3354.67,2136.24,1500.0,2000.0,1000.0
Val-de-Cães,10 a 14 anos,32.0,17.0,15.0,0.88,0.47,0.41,304.25,357.94,243.4,120.0,250.0,112.0
Val-de-Cães,15 a 19 anos,76.0,35.0,41.0,2.09,0.96,1.13,537.05,569.0,509.78,500.0,500.0,500.0
Val-de-Cães,15 a 17 anos,28.0,16.0,12.0,0.77,0.44,0.33,363.82,359.06,370.17,250.0,250.0,200.0
Val-de-Cães,18 ou 19 anos,48.0,19.0,29.0,1.32,0.52,0.8,638.1,745.79,567.55,510.0,510.0,510.0
Val-de-Cães,20 a 24 anos,255.0,137.0,118.0,7.0,3.76,3.24,901.59,881.58,924.83,537.0,600.0,510.0
Val-de-Cães,25 a 29 anos,427.0,236.0,191.0,11.72,6.48,5.24,1848.13,2018.4,1637.74,1000.0,1200.0,720.0
Val-de-Cães,30 a 34 anos,451.0,236.0,215.0,12.38,6.48,5.9,2053.06,2610.21,1441.5,1000.0,2000.0,800.0
Val-de-Cães,35 a 39 anos,501.0,302.0,199.0,13.76,8.29,5.46,2890.95,3190.37,2436.56,1800.0,2000.0,1000.0
Val-de-Cães,40 a 44 anos,469.0,288.0,181.0,12.88,7.91,4.97,3174.59,3684.72,2362.91,2000.0,2500.0,1200.0
Val-de-Cães,45 a 49 anos,372.0,218.0,154.0,10.21,5.99,4.23,3366.79,4093.14,2338.58,2000.0,2500.0,1062.5
Val-de-Cães,50 a 54 anos,275.0,135.0,140.0,7.55,3.71,3.84,3986.5,4993.21,3015.75,2400.0,3300.0,1990.0
Val-de-Cães,55 a 59 anos,183.0,100.0,83.0,5.02,2.75,2.28,4085.89,5047.3,2927.55,2000.0,3000.0,1500.0
Val-de-Cães,60 a 69 anos,310.0,145.0,165.0,8.51,3.98,4.53,3806.29,5029.86,2731.03,2350.0,4000.0,1500.0
Val-de-Cães,70 anos ou mais,291.0,138.0,153.0,7.99,3.79,4.2,3408.95,4358.39,2552.58,2000.0,3000.0,1500.0
Mangueirão,Total,18105.0,9566.0,8539.0,100.0,52.84,47.16,1274.01,1453.37,1073.09,700.0,800.0,515.0
Mangueirão,10 a 14 anos,160.0,85.0,75.0,0.88,0.47,0.41,272.51,287.78,255.21,120.0,134.0,112.0
Mangueirão,15 a 19 anos,614.0,327.0,287.0,3.39,1.81,1.59,411.44,459.6,356.58,400.0,500.0,300.0
Mangueirão,15 a 17 anos,233.0,113.0,120.0,1.29,0.62,0.66,308.85,393.27,229.36,230.0,280.0,200.0
Mangueirão,18 ou 19 anos,381.0,214.0,167.0,2.1,1.18,0.92,474.18,494.62,447.99,510.0,510.0,450.0
Mangueirão,20 a 24 anos,1917.0,1093.0,824.0,10.59,6.04,4.55,721.58,780.97,642.8,510.0,510.0,510.0
Mangueirão,25 a 29 anos,2501.0,1359.0,1142.0,13.81,7.51,6.31,1030.13,1098.48,948.78,600.0,700.0,530.0
Mangueirão,30 a 34 anos,2375.0,1265.0,1110.0,13.12,6.99,6.13,1169.64,1299.44,1021.72,700.0,800.0,600.0
Mangueirão,35 a 39 anos,2272.0,1237.0,1035.0,12.55,6.83,5.72,1400.61,1609.11,1151.42,800.0,1000.0,650.0
Mangueirão,40 a 44 anos,2169.0,1164.0,1005.0,11.98,6.43,5.55,1456.14,1720.81,1149.6,800.0,990.0,600.0
Mangueirão,45 a 49 anos,1793.0,945.0,848.0,9.9,5.22,4.68,1535.81,1740.62,1307.56,850.0,1000.0,650.0
Mangueirão,50 a 54 anos,1391.0,745.0,646.0,7.68,4.11,3.57,1778.3,2147.33,1352.72,1000.0,1200.0,735.0
Mangueirão,55 a 59 anos,1000.0,517.0,483.0,5.52,2.86,2.67,1773.61,1990.26,1541.71,1000.0,1200.0,900.0
Mangueirão,60 a 69 anos,1092.0,508.0,584.0,6.03,2.81,3.23,1560.27,1948.32,1222.71,765.0,1000.0,510.0
Mangueirão,70 anos ou mais,821.0,321.0,500.0,4.53,1.77,2.76,1202.17,1498.75,1011.76,510.0,600.0,510.0
Universitário,Total,1054.0,658.0,396.0,100.0,62.43,37.57,627.33,664.98,564.77,510.0,510.0,510.0
Universitário,10 a 14 anos,1.0,,1.0,0.09,,0.09,510.0,,510.0,510.0,,510.0
Universitário,15 a 19 anos,32.0,22.0,10.0,3.04,2.09,0.95,341.44,344.27,335.2,300.0,300.0,327.5
Universitário,15 a 17 anos,12.0,12.0,,1.14,1.14,,344.58,344.58,,300.0,300.0,
Universitário,18 ou 19 anos,20.0,10.0,10.0,1.9,0.95,0.95,339.55,343.9,335.2,292.5,267.5,327.5
Universitário,20 a 24 anos,122.0,94.0,28.0,11.57,8.92,2.66,521.43,527.71,500.36,510.0,510.0,510.0
Universitário,25 a 29 anos,192.0,120.0,72.0,18.22,11.39,6.83,594.1,592.88,596.14,510.0,510.0,510.0
Universitário,30 a 34 anos,164.0,103.0,61.0,15.56,9.77,5.79,586.63,615.31,538.21,510.0,510.0,510.0
Universitário,35 a 39 anos,164.0,93.0,71.0,15.56,8.82,6.74,628.95,646.72,605.66,510.0,510.0,510.0
Universitário,40 a 44 anos,134.0,80.0,54.0,12.71,7.59,5.12,806.6,888.03,685.98,510.0,510.0,510.0
Universitário,45 a 49 anos,105.0,62.0,43.0,9.96,5.88,4.08,727.05,840.48,563.49,510.0,510.0,510.0
Universitário,50 a 54 anos,65.0,38.0,27.0,6.17,3.61,2.56,667.17,815.95,457.78,510.0,555.0,510.0
Universitário,55 a 59 anos,43.0,27.0,16.0,4.08,2.56,1.52,606.74,719.63,416.25,510.0,510.0,510.0
Universitário,60 a 69 anos,24.0,14.0,10.0,2.28,1.33,0.95,587.08,683.57,452.0,510.0,510.0,510.0
Universitário,70 anos ou mais,8.0,5.0,3.0,0.76,0.47,0.28,595.0,510.0,736.67,510.0,510.0,510.0
Castanheira,Total,13174.0,6916.0,6258.0,100.0,52.5,47.5,1206.64,1342.21,1056.82,700.0,800.0,560.0
Castanheira,10 a 14 anos,102.0,55.0,47.0,0.77,0.42,0.36,271.1,284.75,255.13,141.0,160.0,130.0
Castanheira,15 a 19 anos,342.0,181.0,161.0,2.6,1.37,1.22,446.54,479.06,409.99,505.0,510.0,380.0
Castanheira,15 a 17 anos,130.0,63.0,67.0,0.99,0.48,0.51,325.12,337.86,313.15,268.0,300.0,250.0
Castanheira,18 ou 19 anos,212.0,118.0,94.0,1.61,0.9,0.71,521.0,554.44,479.01,510.0,510.0,510.0
Castanheira,20 a 24 anos,1298.0,705.0,593.0,9.85,5.35,4.5,700.89,755.88,635.53,510.0,510.0,510.0
Castanheira,25 a 29 anos,1780.0,1020.0,760.0,13.51,7.74,5.77,913.09,935.79,882.61,600.0,700.0,512.0
Castanheira,30 a 34 anos,1705.0,928.0,777.0,12.94,7.04,5.9,1115.07,1236.87,969.61,700.0,800.0,600.0
Castanheira,35 a 39 anos,1547.0,866.0,681.0,11.74,6.57,5.17,1186.68,1376.84,944.86,750.0,900.0,600.0
Castanheira,40 a 44 anos,1291.0,666.0,625.0,9.8,5.06,4.74,1282.43,1452.75,1100.94,800.0,1000.0,700.0
Castanheira,45 a 49 anos,1180.0,637.0,543.0,8.96,4.84,4.12,1486.57,1687.23,1251.18,1000.0,1000.0,780.0
